rank,residual_name,freq,cumulative_pct,type,residual_values(top15),cand1_ref,cand1_values,宏基因组相关,合并到(据字典),饼图分类,通用(meta-analysis),reason
41,geographic location (region and locality),5804997,57.1589,freetext/high-card,England(519071) ; Scotland(65372) ; Wales(47636) ; Europe/Germany/North Rhine-Westphalia(31029) ; Europe/Germany(19233) ; Europe/Germany/Saxony(12791) ; Europe/Germany/Bavaria(11275) ; Europe/Germany/Baden-Wurttemberg(9113) ; Northern_Ireland(8367) ; Europe / Ireland / Dublin(7809) ; Europe/Germany/Rhineland-Palatinate(6211) ; ZH(5816) ; BL(5511) ; BS(5470) ; Europe/Germany/Baden-Württemberg(5178),geographic location,,,合并→ geographic location,Geography,是,
42,collecting institution,5693164,57.8274,freetext/high-card,"Lighthouse Lab in Alderley Park(128561) ; Lighthouse Lab in Glasgow(122405) ; Lighthouse Lab in Milton Keynes(89190) ; Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit(38537) ; Lighthouse Lab in Cambridge(34310) ; Respiratory Virus Unit, Microbiology Services Colindale, Public Health England(28057) ; National Virus Reference Laboratory(19824) ; Wellcome Sanger Institute(18157) ; Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust(15866) ; Liverpool Clinical Laboratories(15624) ; Lighthouse Laboratory Plymouth(13047) ; Quadram Institute Bioscience(12982) ; Computational evolution group,Mattenstrasse 26, Basel(12196) ; Department of Pathology, University of Cambridge(11115) ; SYNLAB MVZ Leverkusen, ParacelsusstraÃŸe 13; 51375 Leverkusen(11098)",collecting institution,,,独立键(仅自身),Admin,否,
43,source_name,5692438,58.496,,Liver(22289) ; Brain(22282) ; spleen(18004) ; cell line(16596) ; Blood(12133) ; Cortex(12109) ; PBMC(11385) ; Hippocampus(10871) ; pancreatic islets(10299) ; Bone marrow(9996) ; blood(9356) ; bone marrow(9144) ; Kidney(9072) ; Bone Marrow(8739) ; striatum(8223),source name,Liver(22289) ; Brain(22282) ; spleen(18004) ; cell line(16596) ; Blood(12133) ; Cortex(12109) ; PBMC(11385) ; Hippocampus(10871) ; pancreatic islets(10299) ; Bone marrow(9996) ; blood(9356) ; bone marrow(9144) ; Kidney(9072) ; Bone Marrow(8739) ; striatum(8223),,规范键(其他并入它),Sample,是,
44,broker name,5546151,59.1473,freetext/high-card,"SC(419108) ; ArrayExpress(260555) ; COVID-19 Genomics UK Consortium(225538) ; RKI provides the integration of molecular data and epidemiological data for the molecular surveillance of SARS-CoV-2(121176) ; EBI-EMG(91320) ; Stephane Pesant(56998) ; Swiss Institute of Bioinformatics, Quartier Sorge, Batiment Amphipole, CH-1015, Lausanne(41912) ; COPO(19640) ; Interinstitutional project for the sequencing of circulating SARS-CoV-2 strains in the population of the Republic of Ireland during the 2020 pandemic of COVID19(19498) ; Maiden Group, Department of Zoology, University of Oxford, United Kingdom(10551) ; EnteroBase(9764) ; GFBIO(7288) ; DTU-GE(7127) ; NDM Oxford(7118) ; China National GeneBank (CNGB) Jinsha Road, Dapeng District, Shenzhen(5764)",broker name,,,独立键(仅自身),Admin,否,
45,is tumor,5231623,59.7617,,No(2456177) ; Yes(187657) ; 0(9653) ; 1(7919) ; yes(28) ; no(6),is tumor,No(2456177) ; Yes(187657) ; 0(9653) ; 1(7919) ; yes(28) ; no(6),,规范键(其他并入它),Host,是,
46,ENA-LAST-UPDATE,5229723,60.3758,freetext/high-card,2021-06-09(109767) ; 2016-10-21(68402) ; 2021-07-15(23716) ; 2021-01-11(22607) ; 2021-03-18(22433) ; 2021-06-16(20055) ; 2021-07-02(18803) ; 2021-01-25(17744) ; 2021-04-07(17321) ; 2021-02-01(16422) ; 2021-05-04(15688) ; 2021-06-02(15407) ; 2021-03-03(14246) ; 2021-07-01(13700) ; 2021-07-19(13115),INSDC last update,,,合并→ INSDC last update,Admin,否,
47,sample capture status,5229662,60.99,,,sample capture status,,,规范键(其他并入它),Sample,是,
48,ENA-FIRST-PUBLIC,5192072,61.5997,freetext/high-card,2014-11-13(15253) ; 2020-04-22(6711) ; 2019-10-06T04:03:47Z(5086) ; 2019-10-06T04:03:30Z(4989) ; 2019-10-06T04:03:32Z(4977) ; 2019-04-02T17:04:11Z(4802) ; 2019-10-06T04:03:37Z(4671) ; 2013-04-30(4618) ; 2019-10-06T04:03:48Z(4588) ; 2018-05-24(4561) ; 2019-10-06T04:03:42Z(4503) ; 2019-10-06T04:03:46Z(4337) ; 2019-10-06T04:03:29Z(4234) ; 2019-10-25T04:04:49Z(4181) ; 2020-02-20T17:05:46Z(4151),INSDC first public,,,合并→ INSDC first public,Admin,否,
49,host subject id,4777602,62.1608,,9606(2116) ; 1(1863) ; 4(1673) ; M3(1654) ; 2(1566) ; 16(1356) ; 3(1356) ; 9(1244) ; 5(1071) ; 11(1037) ; 6(1000) ; 7(898) ; 8(885) ; 12(867) ; 15(782),host subject id,9606(2116) ; 1(1863) ; 4(1673) ; M3(1654) ; 2(1566) ; 16(1356) ; 3(1356) ; 9(1244) ; 5(1071) ; 11(1037) ; 6(1000) ; 7(898) ; 8(885) ; 12(867) ; 15(782),,规范键(其他并入它),Host,是,
50,ENA last update,4734714,62.7168,freetext/high-card,2021-06-09(109767) ; 2016-10-21(68402) ; 2021-07-15(23716) ; 2021-01-11(22607) ; 2021-03-18(22433) ; 2021-06-16(20055) ; 2021-07-02(18803) ; 2021-01-25(17744) ; 2021-04-07(17321) ; 2021-02-01(16422) ; 2021-05-04(15688) ; 2021-06-02(15407) ; 2021-03-03(14246) ; 2021-07-01(13700) ; 2021-07-19(13115),INSDC last update,,,合并→ INSDC last update,Admin,否,
